Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
InBank,PR-162-2009,4-Sep-09,$212.00 ,$199.00 
First Bank of Kansas City,PR-161-2009,4-Sep-09,$16.00 ,$15.00 
Affinity Bank,PR-157-2009,28-Aug-09,"$1,000.00 ",$922.00 
Mainstreet Bank,PR-156-2009,28-Aug-09,$459.00 ,$434.00 
Bradford Bank,PR-155-2009,28-Aug-09,$452.00 ,$383.00 
Guaranty Bank,PR-150-2009,21-Aug-09,"$13,000.00 ","$12,000.00 "
CapitalSouth Bank,PR-149-2009,21-Aug-09,$617.00 ,$546.00 
First Coweta Bank,PR-148-2009,21-Aug-09,$167.00 ,$155.00 
ebank,PR-147-2009,21-Aug-09,$143.00 ,$130.00 
Community Bank of Nevada,PR-146-2009,14-Aug-09,"$1,520.00 ","$1,380.00 "
Community Bank of Arizona,PR-145-2009,14-Aug-09,$158.50 ,$143.80 
Union Bank,PR-144-2009,14-Aug-09,$124.00 ,$112.00 
Colonial Bank,PR-143-2009,14-Aug-09,"$25,000.00 ","$20,000.00 "
Dwelling House Savings and Loan Association,PR-142-2009,14-Aug-09,$13.40 ,$13.80 
Community First Bank,PR-141-2009,7-Aug-09,$209.00 ,$182.00 
Community National Bank of Sarasota County,PR-140-2009,7-Aug-09,$97.00 ,$93.00 
First State Bank,PR-139-2009,7-Aug-09,$463.00 ,$387.00 
Mutual Bank,PR-137-2009,31-Jul-09,"$1,600.00 ","$1,600.00 "
First BankAmericano,PR-136-2009,31-Jul-09,$166.00 ,$157.00 
Peoples Community Bank,PR-135-2009,31-Jul-09,$705.80 ,$598.20 
Integrity Bank,PR-134-2009,31-Jul-09,$119.00 ,$102.00 
First State Bank of Altus,PR-133-2009,31-Jul-09,$103.40 ,$98.20 
Security Bank of Bibb County,PR-130-2009,24-Jul-09,"$1,200.00 ","$1,000.00 "
Security Bank of Houston County,PR-130-2009,24-Jul-09,$383.00 ,$320.00 
Security Bank of Jones County,PR-130-2009,24-Jul-09,$453.00 ,$387.00 
Security Bank of Gwinnett County,PR-130-2009,24-Jul-09,$322.00 ,$292.00 
Security Bank of North Metro,PR-130-2009,24-Jul-09,$224.00 ,$212.00 
Security Bank of North Fulton,PR-130-2009,24-Jul-09,$209.00 ,$191.00 
Waterford Village Bank,PR-129-2009,24-Jul-09,$61.40 ,$58.00 
Temecula Valley Bank,PR-126-2009,17-Jul-09,"$1,500.00 ","$1,300.00 "
Vineyard Bank,PR-125-2009,17-Jul-09,"$1,900.00 ","$1,600.00 "
BankFirst,PR-124-2009,17-Jul-09,$275.00 ,$254.00 
First Piedmont Bank,PR-123-2009,17-Jul-09,$115.00 ,$109.00 
Bank of Wyoming,PR-122-2009,10-Jul-09,$70.00 ,$67.00 
Founders Bank,PR-119-2009,2-Jul-09,$962.50 ,$848.90 
Millennium State Bank of Texas,PR-118-2009,2-Jul-09,$118.00 ,$115.00 
The First National Bank of Danville,PR-117-2009,2-Jul-09,$166.00 ,$147.00 
The Elizabeth State Bank,PR-116-2009,2-Jul-09,$55.50 ,$50.40 
Rock River Bank,PR-115-2009,2-Jul-09,$77.00 ,$75.80 
The First State Bank of Winchester,PR-114-2009,2-Jul-09,$36.00 ,$34.00 
The John Warner Bank,PR-113-2009,2-Jul-09,$70.00 ,$64.00 
Mirae Bank,PR-105-2009,26-Jun-09,$456.00 ,$362.00 
MetroPacific Bank,PR-104-2009,26-Jun-09,$80.00 ,$73.00 
Horizon Bank,PR-103-2009,26-Jun-09,$87.60 ,$69.40 
Neighborhood Community Bank,PR-102-2009,26-Jun-09,$221.60 ,$191.30 
Community Bank of West Georgia,PR-101-2009,26-Jun-09,$199.40 ,$182.50 
Cooperative Bank,PR-95-2009,19-Jun-09,$970.00 ,$774.00 
Southern Community Bank,PR-94-2009,19-Jun-09,$377.00 ,$307.00 
First National Bank of Anthony,PR-096-2009,19-Jun-09,$156.90 ,$142.50 
Bank of Lincolnwood,PR-86-2009,5-Jun-09,$214.00 ,$202.00 
Citizens National Bank,PR-76-2009,22-May-09,$437.00 ,$400.00 
Strategic Capital Bank,PR-75-2009,22-May-09,$537.00 ,$471.00 
BankUnited,PR-72-2009,21-May-09,"$12,800.00 ","$8,600.00 "
Westsound Bank,PR-069-2009,8-May-09,$334.60 ,$304.50 
America West Bank,PR-63-2009,1-May-09,$299.40 ,$284.10 
Citizens Community Bank,PR-62-2009,1-May-09,$45.10 ,$43.70 
Silverton Bank,PR-61-2009,1-May-09,"$4,100.00 ","$3,300.00 "
First Bank of Idaho,PR-60-2009,24-Apr-09,$488.90 ,$374.00 
First Bank of Beverly Hills,PR-59-2009,24-Apr-09,"$1,500.00 ","$1,000.00 "
Michigan Heritage Bank,PR-58-2009,24-Apr-09,$184.60 ,$151.70 
American Southern Bank,PR-57-2009,24-Apr-09,$112.30 ,$104.30 
Great Basin Bank of Nevada,PR-55-2009,17-Apr-09,$270.90 ,$221.40 
American Sterling Bank,PR-54-2009,17-Apr-09,$181.00 ,$171.90 
New Frontier Bank,PR-53-2009,10-Apr-09,"$2,000.00 ","$1,500.00 "
Cape Fear Bank,PR-52-2009,10-Apr-09,$492.00 ,$403.00 
Omni National Bank,PR-50-2009,27-Mar-09,$956.00 ,$796.80 
TeamBank,PR-46-2009,20-Mar-09,$669.80 ,$492.80 
FirstCity Bank,PR-44-2009,20-Mar-09,$297.00 ,$278.00 
Colorado National Bank,PR-045-2009,20-Mar-09,$123.50 ,$82.70 
Freedom Bank of Georgia,PR-37-2009,6-Mar-09,$173.00 ,$161.00 
Security Savings Bank,PR-32-2009,27-Feb-09,$238.30 ,$175.20 
Heritage Community Bank,PR-031-2009,27-Feb-09,$232.90 ,$218.60 
Silver Falls Bank,PR-24-2009,20-Feb-09,$131.40 ,$116.30 
Pinnacle Bank,PR-23-2009,13-Feb-09,$73.00 ,$64.00 
Corn Belt Bank and Trust Company,PR-22-2009,13-Feb-09,$271.80 ,$234.40 
Riverside Bank of the Gulf Coast,PR-21-2009,13-Feb-09,$539.00 ,$424.00 
Sherman County Bank,PR-020-2009,13-Feb-09,$129.80 ,$85.10 
County Bank,PR-19-2009,6-Feb-09,"$1,700.00 ","$1,300.00 "
Alliance Bank,PR-18-2009,6-Feb-09,"$1,140.00 ",$951.00 
FirstBank Financial Services,PR-17-2009,6-Feb-09,$337.00 ,$279.00 
Ocala National Bank,PR-14-2009,30-Jan-09,$223.50 ,$205.20 
Suburban Federal Savings Bank,PR-13-2009,30-Jan-09,$360.00 ,$302.00 
MagnetBank,PR-12-2009,30-Jan-09,$292.90 ,$282.80 
